Date,Actual,CNN_Predict,LSTM_Predict
2005-01-01,9.8,8.052206675708295,9.193012791872025
2005-02-01,10.9,8.025953398644925,9.374691671133041
2005-03-01,16.3,9.008162079751491,9.845132538676262
2005-04-01,17.9,12.461762320995332,11.583391401171685
2005-05-01,16.8,15.3102259516716,13.877570667862893
2005-06-01,18.6,16.605009204149244,15.585737439990043
2005-07-01,26.1,17.466821008920668,16.947808638215065
2005-08-01,28.2,21.677623164653777,19.670879054069516
2005-09-01,24.3,23.253828501701353,22.7544726729393
2005-10-01,18.6,20.916417139768598,23.87853566408157
2005-11-01,15.1,16.341280591487884,22.134035611152648
2005-12-01,11.6,12.056999200582505,18.736539697647093
2007-01-01,10.7,10.207923118770122,14.83182676434517
2007-02-01,10.8,9.407452128827572,11.707632437348366
2007-03-01,12.0,8.746413467824459,9.850737491250039
2007-04-01,12.6,8.360659067332744,9.352156910300256
2007-05-01,10.5,9.34788279980421,9.76022062599659
2007-06-01,8.5,9.101717559993267,10.037690728902817
2007-07-01,3.0,8.114894817769528,9.778153800964356
2007-08-01,3.7,6.643085063993931,8.180695089697839
2007-09-01,6.3,6.036152017116547,6.5768748909235
2007-10-01,6.1,6.119275958836079,5.920177617669106
2007-11-01,7.8,5.975753974914551,5.826250107586384
2007-12-01,8.5,5.954444462060929,6.393052941560745
2008-01-01,8.0,5.947832578420639,7.3077388748526575
2008-02-01,7.1,6.170961374044419,8.092725849151611
2008-03-01,5.2,5.861532793939114,8.443615484237672
2008-04-01,4.2,5.651553359627724,8.09960283190012
2008-05-01,4.6,5.503870879113674,7.3051351115107535
2008-06-01,6.4,5.545900003612041,6.57331320643425
2008-07-01,4.8,5.527450887858867,6.419846218824387
2008-08-01,4.2,5.391482669115066,6.22116267979145
2008-09-01,4.1,5.3094458565115925,5.953336837887764
2008-10-01,4.6,5.19064536690712,5.709674668312073
2008-11-01,5.2,5.214373742043972,5.62706443965435
2008-12-01,6.6,5.221154041588306,5.774358850717545
2009-01-01,8.6,5.288335947692394,6.28480874300003
2009-02-01,8.0,5.575632984936237,7.272719059884548
2009-03-01,7.8,5.792550887167454,8.13451883494854
2009-04-01,8.2,5.939450100064278,8.680017057061196
2009-05-01,9.7,6.093693226575851,9.03051906824112
2009-06-01,12.0,6.864164353907109,9.534095987677574
2009-07-01,14.0,8.703224144876003,10.500478920340537
2009-08-01,12.4,11.114219444990159,11.881202402710915
2009-09-01,13.0,11.554098618030547,12.71878370344639
2009-10-01,14.7,11.940109652280809,13.20851398408413
2009-11-01,14.8,13.103286123275756,13.794574597477913
2009-12-01,15.1,13.303041642904281,14.26519546508789
2010-01-01,14.0,13.881583243608475,14.60305469930172
2010-02-01,14.6,13.36211730837822,14.494781094789506
2010-03-01,14.4,13.475929033756257,14.333992025256157
2010-04-01,13.3,13.166054463386535,14.13051620721817
2010-05-01,13.2,12.506081545352936,13.686980894207954
2010-06-01,11.2,11.992696404457092,13.230917754769326
2010-07-01,11.1,10.839614194631576,12.418543592095375
2010-08-01,11.0,10.109997735917569,11.6522637039423
2010-09-01,10.4,9.632633994519711,11.08724616765976
2010-10-01,11.6,9.17389045804739,10.641724616289139
2010-11-01,12.4,9.593816356360913,10.65714313685894
2010-12-01,13.9,10.339799900352954,11.070327052474022
2011-01-01,14.4,11.744626015424728,11.921370932459832
2011-02-01,15.6,12.848439890146256,12.873202374577522
2011-03-01,14.8,14.184031474590302,13.912875631451607
2011-04-01,15.0,14.243007338047027,14.504424464702607
2011-05-01,12.9,14.046463304758072,14.7591076284647
2011-06-01,14.1,12.723767566680909,14.264121702313423
2011-07-01,13.0,12.613126337528229,13.847205013036728
2011-08-01,13.7,12.149421215057373,13.311935606598855
2011-09-01,13.6,12.272990369796753,13.035485801100732
2011-10-01,13.4,12.278787797689438,12.923246848583222
2011-11-01,12.8,12.216211932897568,12.874680691957474
2011-12-01,11.8,11.768446618318558,12.726216280460358
2012-01-01,12.1,11.042422586679459,12.342350098490716
2012-02-01,11.1,10.706986224651336,12.029856616258622
2012-03-01,12.8,10.091707234084605,11.608632400631905
2012-04-01,11.3,10.771226644515991,11.649340930581094
2012-05-01,12.4,10.326029895246029,11.550287428498269
2012-06-01,10.2,10.737024849653244,11.67043836414814
2012-07-01,9.4,9.729611258208752,11.36432953774929
2012-08-01,9.3,8.677927897870541,10.762730106711388
2012-09-01,10.3,8.034997956454754,10.17793662250042
2012-10-01,10.5,8.356699065864087,9.983314669132232
2012-11-01,10.5,8.664320962131024,10.06909806728363
2012-12-01,10.3,8.752746440470219,10.268323388695716
2013-01-01,12.6,8.878916685283183,10.428831765055657
2013-02-01,11.9,10.139089132845402,11.066910615563392
2013-03-01,12.1,10.542491114139557,11.597001901268959
2013-04-01,12.9,10.807166063785553,11.993469870090484
2013-05-01,12.7,11.345703095197678,12.394330018758774
2013-06-01,12.9,11.519490486383438,12.64645753800869
2013-07-01,12.8,11.584687936306,12.790037888288499
2013-08-01,11.7,11.599782991409302,12.817807799577713
2013-09-01,11.3,10.980187118053436,12.518777787685394
2013-10-01,11.7,10.345681981742382,12.057627418637276
2013-11-01,12.3,10.290024535357952,11.735369378328324
2013-12-01,12.0,10.580843603610992,11.699699959158897
2014-01-01,9.0,10.64670580625534,11.732885912060738
2014-02-01,9.5,9.058708237111569,11.104299837350846
2014-03-01,8.6,8.395784030854703,10.45663553774357
2014-04-01,9.1,7.556355501711368,9.776952612400056
2014-05-01,9.0,7.46953309327364,9.380080980062484
2014-06-01,8.4,7.349577306210994,9.195177248120308
